"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,6,3,1,1,0,1,9,1,14,3,0,7,12,19,0,12,0,0,30,19,0,2,6,1,3,7,3,0,2,7,0,11,13,0,8,3,9,15,4,0,10,29,4,8,6,10,0,1,6,4,5,14,14,0,4,24,13,8,6,0,21,19,0,1,20,0,1,2,7,1,11,1,11,2,4,4,2,4,15,15,12,5,0,1,5,17,3,40,11,5,6,10,3,1,2,0,3,0,1
"2",5,6,4,0,1,1,7,21,2,18,3,0,14,16,20,0,17,0,6,55,186,1,4,6,6,1,5,7,0,1,8,0,16,13,3,14,6,20,11,5,0,9,44,8,16,11,14,2,1,10,0,4,10,21,1,4,36,11,5,7,0,26,13,1,2,50,0,2,2,17,0,12,3,16,3,6,8,2,10,12,25,14,3,0,1,23,8,2,67,16,3,4,7,2,0,0,0,2,3,1
"3",7,4,2,0,0,2,10,22,0,40,1,0,12,13,22,1,16,0,7,59,112,0,1,5,12,2,9,4,2,1,10,2,13,13,8,12,10,17,9,18,0,17,25,6,26,6,6,1,2,6,1,1,15,24,0,5,48,12,23,13,0,16,34,4,0,51,0,3,3,4,3,13,1,15,1,8,6,4,16,14,26,14,0,0,1,27,14,4,188,20,4,3,11,3,0,3,0,3,4,1
"4",5,5,4,2,0,2,5,21,3,28,3,0,13,11,16,9,12,0,2,65,110,0,5,9,11,1,9,5,0,1,8,2,11,10,5,18,4,14,17,11,0,18,36,5,26,12,15,0,0,9,2,1,14,23,0,11,46,8,18,19,0,30,30,3,2,52,0,4,3,7,2,18,3,14,1,11,3,0,12,16,21,9,3,0,2,28,10,10,202,15,5,4,9,4,2,4,0,7,13,0
"5",3,3,5,3,1,2,3,24,1,28,4,1,14,15,2,6,12,0,10,64,147,3,3,12,7,2,3,7,0,3,7,0,7,12,2,8,2,22,16,12,1,11,52,8,17,15,15,1,1,7,5,4,13,28,0,13,40,15,20,19,0,29,26,1,3,60,0,8,5,6,2,15,1,22,1,7,7,2,6,15,27,8,2,0,6,3,19,9,146,16,6,2,13,3,0,6,0,6,5,2
"6",8,4,3,2,0,0,7,20,1,24,4,4,21,15,22,3,10,0,8,66,91,1,2,11,8,2,4,7,1,1,11,2,18,12,3,9,6,20,26,6,0,12,47,6,28,8,8,0,0,3,3,1,9,26,0,8,44,12,16,14,0,25,7,6,2,84,0,1,0,10,1,10,0,30,4,3,3,1,19,18,21,9,0,0,2,14,17,10,148,16,5,7,18,1,0,4,0,6,2,2
"7",6,1,3,1,1,0,9,20,0,24,3,0,25,9,5,1,15,0,7,58,57,1,4,13,3,3,4,8,2,0,11,0,7,12,3,7,6,17,24,1,0,11,34,8,18,7,9,1,1,3,2,0,4,32,2,18,53,3,29,3,0,23,30,3,4,78,0,6,2,7,0,11,4,25,3,2,11,5,19,17,24,26,4,0,6,10,13,10,224,21,7,2,6,1,0,2,0,5,6,1
"8",3,3,5,2,5,3,2,18,1,30,3,1,19,14,2,6,19,18,3,74,20,0,4,17,9,3,8,4,1,1,11,1,10,12,1,6,10,17,13,3,0,13,61,11,8,4,9,0,2,10,2,3,6,41,1,13,41,20,15,10,0,40,26,0,3,75,0,5,7,6,1,9,1,22,5,4,12,0,19,20,28,29,7,0,7,14,9,12,134,14,5,3,17,4,0,5,0,3,1,0
"9",6,4,3,1,0,1,2,15,0,33,2,1,19,15,1,6,17,7,4,48,62,1,8,12,13,0,9,13,0,1,13,2,15,9,1,9,4,18,16,0,2,14,47,9,15,6,10,0,0,16,0,0,11,28,0,15,45,17,15,7,0,32,10,2,3,84,0,7,0,5,5,16,1,17,3,2,8,2,11,24,25,34,3,0,5,10,12,6,156,21,11,5,10,4,0,2,0,2,3,0
"10",10,4,5,0,2,1,2,11,3,32,4,2,7,11,0,7,14,7,8,63,84,0,5,10,15,2,6,7,1,1,8,1,14,19,0,11,5,12,18,3,4,12,43,8,14,8,11,2,2,21,2,1,17,30,0,12,34,10,12,7,0,34,12,6,3,63,0,6,0,7,4,19,0,23,1,2,13,1,16,18,22,21,2,0,5,21,17,10,157,17,3,4,12,2,1,4,0,1,2,0
